00101101 01001111 01000111 11001001 11101011 01100001 00011111 00011010 
00010000 11011010 00100110 01000001 01100110 01001100 01101111 00111010 
10000111 00001111 01000101 11010001 00110101 10110010 10011001 11111001 
00110011 11001111 00111000 01111110 11111100 00110101 00110011 10110001 
11000001 11110110 11010000 10001111 11111011 00101010 01010011 01011110 
10101111 10111100 11001110 10000010 01110010 00100101 00010010 01110011 
11100001 11010101 00000001 01011110 10001100 00000000 01000100 01110100 
11000101 01000110 01010101 01100000 00010000 01001111 10101110 00001011 
00110110 01101000 10110110 00010100 11100100 00111110 00111101 11000101 
01000111 01011001 11001100 01011110 00000011 00100000 10010110 10111000 
